entidad_federativa,municipio_alcaldia
AGUASCALIENTES,AGUASCALIENTES
AGUASCALIENTES,ASIENTOS
AGUASCALIENTES,CALVILLO
AGUASCALIENTES,JESUS MARIA
AGUASCALIENTES,RINCON DE ROMOS
AGUASCALIENTES,TEPEZALA
BAJA CALIFORNIA,ENSENADA
BAJA CALIFORNIA,MEXICALI
BAJA CALIFORNIA,TECATE
BAJA CALIFORNIA,TIJUANA
BAJA CALIFORNIA,PLAYAS DE ROSARITO
BAJA CALIFORNIA SUR,COMONDU
BAJA CALIFORNIA SUR,MULEGE
BAJA CALIFORNIA SUR,LA PAZ
BAJA CALIFORNIA SUR,LOS CABOS
BAJA CALIFORNIA SUR,LORETO
CAMPECHE,CALKINI
CAMPECHE,CAMPECHE
CAMPECHE,CARMEN
CAMPECHE,CHAMPOTON
CAMPECHE,HECELCHAKAN
CAMPECHE,HOPELCHEN
CAMPECHE,PALIZADA
CAMPECHE,TENABO
CAMPECHE,ESCARCEGA
CAMPECHE,CALAKMUL
CAMPECHE,CANDELARIA
COAHUILA DE ZARAGOZA,ACUÑA
COAHUILA DE ZARAGOZA,ARTEAGA
COAHUILA DE ZARAGOZA,CASTAÑOS
COAHUILA DE ZARAGOZA,CUATRO CIENEGAS
COAHUILA DE ZARAGOZA,FRANCISCO I. MADERO
COAHUILA DE ZARAGOZA,FRONTERA
COAHUILA DE ZARAGOZA,GENERAL CEPEDA
COAHUILA DE ZARAGOZA,GUERRERO
COAHUILA DE ZARAGOZA,JIMENEZ
COAHUILA DE ZARAGOZA,MATAMOROS
COAHUILA DE ZARAGOZA,MONCLOVA
COAHUILA DE ZARAGOZA,MORELOS
COAHUILA DE ZARAGOZA,MUZQUIZ
COAHUILA DE ZARAGOZA,NADADORES
COAHUILA DE ZARAGOZA,NAVA
COAHUILA DE ZARAGOZA,PARRAS
COAHUILA DE ZARAGOZA,PIEDRAS NEGRAS
COAHUILA DE ZARAGOZA,RAMOS ARIZPE
COAHUILA DE ZARAGOZA,SABINAS
COAHUILA DE ZARAGOZA,SALTILLO
COAHUILA DE ZARAGOZA,SAN BUENAVENTURA
COAHUILA DE ZARAGOZA,SAN JUAN DE SABINAS
COAHUILA DE ZARAGOZA,SAN PEDRO
COAHUILA DE ZARAGOZA,SIERRA MOJADA
COAHUILA DE ZARAGOZA,TORREON
COAHUILA DE ZARAGOZA,VIESCA
COAHUILA DE ZARAGOZA,VILLA UNION
COAHUILA DE ZARAGOZA,ZARAGOZA
