uso_generico,uso_especifico
SIN INFORMACIÓN,SIN INFORMACIÓN
DE SERVICIO PÚBLICO,ADUANA
DE SERVICIO PÚBLICO,AGENCIA ADUANAL
DE SERVICIO PÚBLICO,AGENCIA NOTICIOSA
DE SERVICIO PÚBLICO,ASEGURADORA
DE SERVICIO PÚBLICO,BANCO
DE SERVICIO PÚBLICO,CASA DE MONEDA
DE SERVICIO PÚBLICO,DELEGACION
DE SERVICIO PÚBLICO,DERIVADOS DE SU OBJETO INSTITUCIONAL
DE SERVICIO PÚBLICO,EMBAJADA O CONSULADO
DE SERVICIO PÚBLICO,INMUEBLES FEDERALES COMPARTIDOS
DE SERVICIO PÚBLICO,OFICINA DE GOBIERNO ESTATAL
DE SERVICIO PÚBLICO,OFICINA DE GOBIERNO MUNICIPAL
DE SERVICIO PÚBLICO,OFICINA DE MENSAJERIA
DE SERVICIO PÚBLICO,OFICINA DE TELEFONOS
DE SERVICIO PÚBLICO,OFICINA DE TELEGRAFOS
DE SERVICIO PÚBLICO,OFICINA DEL PODER EJECUTIVO FEDERAL
DE SERVICIO PÚBLICO,OFICINA DEL PODER JUDICIAL FEDERAL
DE SERVICIO PÚBLICO,OFICINA DEL PODER LEGISLATIVO FEDERAL
DE SERVICIO PÚBLICO,PALACIO DE GOBIERNO ESTATAL
DE SERVICIO PÚBLICO,PALACIO DE GOBIERNO FEDERAL
DE SERVICIO PÚBLICO,PALACIO MUNICIPAL
DE SERVICIO PÚBLICO,RESIDENCIA OFICIAL DEL PODER EJECUTIVO FEDERAL
DE SERVICIO PÚBLICO,SERVICIO POSTAL
DE SERVICIO PÚBLICO,TESORERIA
DE SERVICIO PÚBLICO,TRAMITE Y COBRANZA
DE SERVICIO PÚBLICO,TRAMITES DE SERVICIOS PUBLICOS
SERVICIOS DIVERSOS,BANCO DE MATERIAL PETREO
SERVICIOS DIVERSOS,BANCO DE MATERIALES
SERVICIOS DIVERSOS,BOMBAS
SERVICIOS DIVERSOS,CEMENTERIO
SERVICIOS DIVERSOS,ESTACIONAMIENTO
SERVICIOS DIVERSOS,LAVANDERIA
SERVICIOS DIVERSOS,PLATAFORMAS
SERVICIOS DIVERSOS,SERVICIOS DE AGENCIA FUNERARIA
SERVICIOS DIVERSOS,SERVIDUMBRE DE PASO
SERVICIOS DIVERSOS,SINDICATO
SERVICIOS DIVERSOS,TALLER DE MAQUINARIA
SERVICIOS DIVERSOS,TALLER MECANICO
SERVICIOS DIVERSOS,TALLERES DE REPARACION Y MANTENIMIENTO
SERVICIOS DIVERSOS,TALLERES GRAFICOS
SEGURIDAD Y JUSTICIA,SIN INFORMACIÓN
SEGURIDAD Y JUSTICIA,ACTIVIDADES CASTRENSES
SEGURIDAD Y JUSTICIA,AGENCIA DEL MINISTERIO PUBLICO
SEGURIDAD Y JUSTICIA,BASE O CUARTEL DE LAS FUERZAS ARMADAS
SEGURIDAD Y JUSTICIA,CAMPAMENTO DE POLICIA
SEGURIDAD Y JUSTICIA,CAMPO MILITAR
SEGURIDAD Y JUSTICIA,CAPITANIA
SEGURIDAD Y JUSTICIA,CASETA DE CONTROL Y/O VIGILANCIA
SEGURIDAD Y JUSTICIA,CENTRAL DE AMBULANCIAS
SEGURIDAD Y JUSTICIA,CENTRO DE RETENCION MIGRATORIA
SEGURIDAD Y JUSTICIA,CENTRO PRACTICO OPERATIVO 
SEGURIDAD Y JUSTICIA,COMANDANCIA DE POLICIA
SEGURIDAD Y JUSTICIA,ESTACION DE BOMBEROS
SEGURIDAD Y JUSTICIA,PARTIDA DE INFANTERIA
SEGURIDAD Y JUSTICIA,PROCURACION DE JUSTICIA
SEGURIDAD Y JUSTICIA,RECLUSORIO
SEGURIDAD Y JUSTICIA,REFORMATORIO
SEGURIDAD Y JUSTICIA,TRIBUNAL O JUZGADO
SEGURIDAD Y JUSTICIA,ZONA DE PROTECCION
SEGURIDAD Y JUSTICIA,ZONA MILITAR
SEGURIDAD Y JUSTICIA,ZONA NAVAL
COMUNICACIONES Y TRANSPORTES,AERODROMO
COMUNICACIONES Y TRANSPORTES,AEROPUERTO
COMUNICACIONES Y TRANSPORTES,ANTENAS
COMUNICACIONES Y TRANSPORTES,ATRACADERO O MUELLE
COMUNICACIONES Y TRANSPORTES,AUTOPISTA
COMUNICACIONES Y TRANSPORTES,BALIZA
COMUNICACIONES Y TRANSPORTES,CAMINO
COMUNICACIONES Y TRANSPORTES,CARRETERA
COMUNICACIONES Y TRANSPORTES,CASETA DE COMUNICACIONES
COMUNICACIONES Y TRANSPORTES,CASETA PESADORA
COMUNICACIONES Y TRANSPORTES,EDIFICIO TECNICO
COMUNICACIONES Y TRANSPORTES,ESPUELA
COMUNICACIONES Y TRANSPORTES,ESTACION DE FERROCARRIL
COMUNICACIONES Y TRANSPORTES,ESTACION DE METRO
COMUNICACIONES Y TRANSPORTES,ESTACION DE RADIOTELEFONIA
COMUNICACIONES Y TRANSPORTES,ESTACION DE RADIOTELEGRAFIA
COMUNICACIONES Y TRANSPORTES,ESTACION FLUVIAL
COMUNICACIONES Y TRANSPORTES,ESTACION MARITIMA
COMUNICACIONES Y TRANSPORTES,ESTACION RADIOEMISORA
COMUNICACIONES Y TRANSPORTES,ESTACION RADIOGONOMETRICA
COMUNICACIONES Y TRANSPORTES,ESTACION RADIOMARITIMA
COMUNICACIONES Y TRANSPORTES,ESTACION RADIOMONITORA
COMUNICACIONES Y TRANSPORTES,ESTACION RECEPTORA
COMUNICACIONES Y TRANSPORTES,ESTACION REPETIDORA DE MICROONDAS
COMUNICACIONES Y TRANSPORTES,ESTACIÓN SISMOLÓGICA
COMUNICACIONES Y TRANSPORTES,ESTACION TELEVISORA
COMUNICACIONES Y TRANSPORTES,ESTACION TERMINAL DE MICROONDAS
COMUNICACIONES Y TRANSPORTES,ESTACION TERRENA
COMUNICACIONES Y TRANSPORTES,FARO
COMUNICACIONES Y TRANSPORTES,GUARDAFARO
COMUNICACIONES Y TRANSPORTES,LINEA DE TRANSMISION TELEGRAFICA
COMUNICACIONES Y TRANSPORTES,PISTA DE ATERRIZAJE
COMUNICACIONES Y TRANSPORTES,TERMINAL DE AUTOBUSES FORANEOS
COMUNICACIONES Y TRANSPORTES,TERMINAL DE AUTOBUSES URBANOS
COMUNICACIONES Y TRANSPORTES,TERMINAL DE CAMIONES DE CARGA
COMUNICACIONES Y TRANSPORTES,TORRE DE TELECOMUNICACIONES
COMUNICACIONES Y TRANSPORTES,TRANSBORDO MARITIMO
COMUNICACIONES Y TRANSPORTES,TRANSBORDO TERRESTRE

HABITACIÓN,CAMPAMENTO PARA CASAS MOVILES
HABITACIÓN,CASA DE EMPLEADOS
HABITACIÓN,CASA DE FUNCIONARIOS
HABITACIÓN,CASA DE HUESPEDES
HABITACIÓN,CASA HABITACION
HABITACIÓN,CONJUNTO HABITACIONAL
HABITACIÓN,HABITACION DE PERSONAL
INFRAESTRUCTURA GENERAL,ABASTECIMIENTO - TRATAMIENTO Y/O ENFRIAMIENTO DE AGUA
INFRAESTRUCTURA GENERAL,CANAL
INFRAESTRUCTURA GENERAL,CARCAMOS
INFRAESTRUCTURA GENERAL,CHIMENEAS
INFRAESTRUCTURA GENERAL,PLANTA DE BOMBEO DE AGUA
INFRAESTRUCTURA GENERAL,PLANTA DESALINIZADORA DE AGUA
INFRAESTRUCTURA GENERAL,POZO DE AGUA
INFRAESTRUCTURA GENERAL,TORRES


TURISMO - RECREACIÓN Y DEPORTE,ALBERCAS
TURISMO - RECREACIÓN Y DEPORTE,AREAS VERDES
TURISMO - RECREACIÓN Y DEPORTE,AUTODROMO
TURISMO - RECREACIÓN Y DEPORTE,CANCHA DEPORTIVA
TURISMO - RECREACIÓN Y DEPORTE,CASA CLUB
TURISMO - RECREACIÓN Y DEPORTE,CENTRO SOCIAL
TURISMO - RECREACIÓN Y DEPORTE,CENTROS COMUNITARIOS
TURISMO - RECREACIÓN Y DEPORTE,CLUB CAMPESTRE
TURISMO - RECREACIÓN Y DEPORTE,CLUB DE GOLF
TURISMO - RECREACIÓN Y DEPORTE,DESARROLLO INMOBILIARIO
TURISMO - RECREACIÓN Y DEPORTE,ESTADIO
TURISMO - RECREACIÓN Y DEPORTE,FUENTES
TURISMO - RECREACIÓN Y DEPORTE,GALGODROMO
TURISMO - RECREACIÓN Y DEPORTE,GIMNASIO
TURISMO - RECREACIÓN Y DEPORTE,HIPODROMO
TURISMO - RECREACIÓN Y DEPORTE,HOTEL
TURISMO - RECREACIÓN Y DEPORTE,JARDIN BOTANICO
TURISMO - RECREACIÓN Y DEPORTE,JARDINES
TURISMO - RECREACIÓN Y DEPORTE,MOTEL
TURISMO - RECREACIÓN Y DEPORTE,PARQUE
TURISMO - RECREACIÓN Y DEPORTE,POSADA - PARADOR - CAMPAMENTO O ALBERGUE
TURISMO - RECREACIÓN Y DEPORTE,SALÓN PARA EVENTOS SOCIALES
TURISMO - RECREACIÓN Y DEPORTE,UNIDAD DEPORTIVA
TURISMO - RECREACIÓN Y DEPORTE,ZOOLOGICO


RELIGIÓN,ANEXO TEMPLO
RELIGIÓN,CAPILLA
RELIGIÓN,CASA PARROQUIAL O CURATO
RELIGIÓN,CATEDRAL
RELIGIÓN,CONVENTO O MONASTERIO
RELIGIÓN,CUASIPARROQUIA
RELIGIÓN,ERMITA
RELIGIÓN,IGLESIA
RELIGIÓN,NOTARIA PARROQUIAL
RELIGIÓN,OBISPADO
RELIGIÓN,PARROQUIA
RELIGIÓN,SANTUARIO
RELIGIÓN,SEMINARIO
RELIGIÓN,TEMPLO

ENERGÍA,CASETA DE CONTROL
ENERGÍA,CASETA DE POZOS E INSTALACIONES
ENERGÍA,CENTRAL TERMO-ELECTRICA
ENERGÍA,CENTRO DE CONTROL Y DISTRIBUCION DE ENERGIA
ENERGÍA,EMBALSE
ENERGÍA,EQUIPO DE ENFRIAMIENTO
ENERGÍA,ESTACIONES ELECTRICAS
ENERGÍA,FOSA DE EVAPORACION
ENERGÍA,INSTALACIONES DE EXPLORACION
ENERGÍA,INSTALACIONES DE EXPLOTACION
ENERGÍA,INSTALACIONES DE LA RED PRODUCTORA
ENERGÍA,INSTALACIONES DE PETROQUIMICA
ENERGÍA,INSTALACIONES DE RECUPERACION Y ALMACENAMIENTO DE HIDROCARBUROS
ENERGÍA,INSTALACIONES DE REFINACION
ENERGÍA,INSTALACIONES PARA ALMACENAMIENTO Y DISTRIBUCION DE PRODUCTOS
ENERGÍA,LINEA DE TRANSMISION ELECTRICA
ENERGÍA,MONITOREO AMBIENTAL
ENERGÍA,NORIA Y CASETA DE BOMBEO
ENERGÍA,OBRAS INDUSTRIALES COMPLEMENTARIAS (VAPOR - ENERGIA - ELECTRICIDAD - ETC.)
ENERGÍA,OLEODUCTOS
ENERGÍA,PLANTA GENERADORA (HIDROELECTRICA- TERMOELECTRICA- NUCLEOELECTRICAS- ETC.)
ENERGÍA,SISTEMA DE TRANSPORTACION POR TUBERIA
ENERGÍA,SUBESTACION ELECTRICA


MEDIO AMBIENTE,AREA NATURAL PROTEGIDA
MEDIO AMBIENTE,CAMPAMENTO FORESTAL
MEDIO AMBIENTE,CENTROS INTEGRALES DE LA VIDA SILVESTRE
MEDIO AMBIENTE,PARQUE ECOLOGICO
MEDIO AMBIENTE,PARQUE NACIONAL
MEDIO AMBIENTE,RESERVA DE LA BIOSFERA
MEDIO AMBIENTE,RESERVA ECOLOGICA
MEDIO AMBIENTE,RESERVA FORESTAL
MEDIO AMBIENTE,VIVERO


DESARROLLO AGROPECUARIO Y ACUICOLA,ANALISIS DE PLAGUICIDAS
DESARROLLO AGROPECUARIO Y ACUICOLA,BAÑO GARRAPATICIDA
DESARROLLO AGROPECUARIO Y ACUICOLA,CABALLERIZA
DESARROLLO AGROPECUARIO Y ACUICOLA,CAMPO EXPERIMENTAL
DESARROLLO AGROPECUARIO Y ACUICOLA,CENTRO DE FOMENTO GANADERO
DESARROLLO AGROPECUARIO Y ACUICOLA,CULTIVOS VARIOS
DESARROLLO AGROPECUARIO Y ACUICOLA,DESTRUCCION E INCINERACION
DESARROLLO AGROPECUARIO Y ACUICOLA,ESTACIÓN CUARENTENARIA
DESARROLLO AGROPECUARIO Y ACUICOLA,EXPLOTACION AGROPECUARIA
DESARROLLO AGROPECUARIO Y ACUICOLA,FOMENTO ACUICOLA
DESARROLLO AGROPECUARIO Y ACUICOLA,FOMENTO AGROINDUSTRIAL
DESARROLLO AGROPECUARIO Y ACUICOLA,FOMENTO APICOLA
DESARROLLO AGROPECUARIO Y ACUICOLA,FOMENTO FORESTAL
DESARROLLO AGROPECUARIO Y ACUICOLA,GRANJA
DESARROLLO AGROPECUARIO Y ACUICOLA,HACIENDA AGROPECUARIA
DESARROLLO AGROPECUARIO Y ACUICOLA,HUERTA
DESARROLLO AGROPECUARIO Y ACUICOLA,INSPECCIÓN Y VERIFICACIÓN FITOZOOSANITARIA
DESARROLLO AGROPECUARIO Y ACUICOLA,INVERNADEROS
DESARROLLO AGROPECUARIO Y ACUICOLA,LABORATORIO DE BIOLOGÍA MOLECULAR
DESARROLLO AGROPECUARIO Y ACUICOLA,LABORATORIO FITOZOOSANITARIO
DESARROLLO AGROPECUARIO Y ACUICOLA,MEJORAMIENTO GENETICO
DESARROLLO AGROPECUARIO Y ACUICOLA,PLANTA TIF
DESARROLLO AGROPECUARIO Y ACUICOLA,PRODUCCION DE PLANTA
DESARROLLO AGROPECUARIO Y ACUICOLA,RANCHO GANADERO
DESARROLLO AGROPECUARIO Y ACUICOLA,RASTRO
DESARROLLO AGROPECUARIO Y ACUICOLA,REFORESTACION
DESARROLLO AGROPECUARIO Y ACUICOLA,REPRODUCCION DE ORGANISMOS BENEFICOS
DESARROLLO AGROPECUARIO Y ACUICOLA,REPRODUCCION PECUARIA 
DESARROLLO AGROPECUARIO Y ACUICOLA,VIVERO CRIA DE PECES


SERVICIOS DE SALUD Y ASISTENCIA SOCIAL,ALBERGUE
SERVICIOS DE SALUD Y ASISTENCIA SOCIAL,ASILO
SERVICIOS DE SALUD Y ASISTENCIA SOCIAL,BANCO DE SANGRE
SERVICIOS DE SALUD Y ASISTENCIA SOCIAL,CASA CUNA
SERVICIOS DE SALUD Y ASISTENCIA SOCIAL,CASA DE SALUD
SERVICIOS DE SALUD Y ASISTENCIA SOCIAL,CASA HOGAR
SERVICIOS DE SALUD Y ASISTENCIA SOCIAL,CENTRO ANTIRRABICO
SERVICIOS DE SALUD Y ASISTENCIA SOCIAL,CENTRO DE BIENESTAR SOCIAL
SERVICIOS DE SALUD Y ASISTENCIA SOCIAL,CENTRO DE DESARROLLO INFANTIL
SERVICIOS DE SALUD Y ASISTENCIA SOCIAL,CENTRO DE DETECCION DEL SIDA
SERVICIOS DE SALUD Y ASISTENCIA SOCIAL,CENTRO DE INTEGRACION JUVENIL
SERVICIOS DE SALUD Y ASISTENCIA SOCIAL,CENTRO DE NEUROLOGIA
SERVICIOS DE SALUD Y ASISTENCIA SOCIAL,CENTRO DE ORIENTACION
SERVICIOS DE SALUD Y ASISTENCIA SOCIAL,CENTRO DE REHABILITACION
SERVICIOS DE SALUD Y ASISTENCIA SOCIAL,CENTRO DE SALUD CON HOSPITAL
SERVICIOS DE SALUD Y ASISTENCIA SOCIAL,CENTRO DE SALUD HIBRIDO
SERVICIOS DE SALUD Y ASISTENCIA SOCIAL,CENTRO DE SALUD PERIFERICO
SERVICIOS DE SALUD Y ASISTENCIA SOCIAL,CENTRO DE SALUD RURAL CONCENTRADO
SERVICIOS DE SALUD Y ASISTENCIA SOCIAL,CENTRO DE SALUD RURAL DISPERSO
